id,lodging_revenue,other_revenue,total_revenue
389,294.87,70.0,364.87
391,523.8,82.0,605.8
393,240.0,269.5,509.5
395,140.0,57.0,197.0
397,210.0,114.0,324.0
399,73.0,14.0,87.0
400,73.0,23.0,96.0
401,315.0,80.5,395.5
403,219.0,52.5,271.5
404,332.0,188.5,520.5
406,219.0,33.0,252.0
407,211.0,26.0,237.0
409,55.49,14.0,69.49000000000001
410,73.0,51.1,124.1
411,290.0,102.0,392.0
412,168.0,17.0,185.0
413,386.0,30.5,416.5
414,124.0,46.0,170.0
415,224.0,56.0,280.0
417,75.0,2.0,77.0
419,138.0,75.0,213.0
421,64.32,79.0,143.32
423,78.0,14.0,92.0
424,39.0,7.0,46.0
425,75.0,12.5,87.5
426,116.0,32.5,148.5
427,192.0,396.5,588.5
429,0.0,8.0,8.0
430,445.5,72.0,517.5
431,240.0,101.0,341.0
433,290.0,72.0,362.0
435,124.5,346.5,471.0
439,130.5,36.0,166.5
440,123.6,74.4,198.0
442,123.6,74.4,198.0
444,123.6,74.4,198.0
446,328.8,328.7,657.5
448,75.0,26.0,101.0
449,220.0,104.0,324.0
451,0.0,150.5,150.5
453,52.02,4.5,56.52
455,59.0,7.0,66.0
456,59.0,18.0,77.0
457,138.0,42.0,180.0
459,174.0,42.0,216.0
460,230.0,176.5,406.5
463,345.0,142.2,487.2
464,232.8,164.6,397.4
466,184.0,62.5,246.5
468,165.0,55.8,220.8
469,238.75,167.0,405.75
471,73.0,7.0,80.0
472,44.0,8.0,52.0
473,79.0,3.5,82.5
475,137.4,42.0,179.4
477,224.0,155.0,379.0
478,432.4,275.8,708.2
480,188.64,85.5,274.14
482,335.0,75.0,410.0
483,174.0,144.0,318.0
486,207.0,21.0,228.0
487,204.0,42.0,246.0
489,58.0,7.0,65.0
490,392.7,120.0,512.7
493,73.0,16.0,89.0
494,230.0,146.6,376.6
496,134.0,28.0,162.0
498,1479.45,576.0,2055.45
500,65.7,11.0,76.7
502,65.7,13.0,78.7
503,59.0,7.0,66.0
504,59.0,9.0,68.0
505,59.0,9.0,68.0
506,59.0,9.0,68.0
507,59.0,9.0,68.0
508,64.0,3.5,67.5
509,52.0,17.0,69.0
510,60.8,14.0,74.8
513,116.0,30.0,146.0
515,168.0,85.0,253.0
517,232.0,54.0,286.0
518,116.0,32.0,148.0
520,65.6,15.0,80.6
522,184.0,56.0,240.0
523,92.0,2.0,94.0
524,110.44,51.5,161.94
526,124.2,40.0,164.2
527,138.0,60.0,198.0
529,228.6,71.0,299.6
531,56.0,14.0,70.0
533,114.0,55.5,169.5
534,114.0,77.0,191.0
537,114.0,54.0,168.0
538,114.0,61.0,175.0
539,114.0,54.0,168.0
540,132.0,29.0,161.0
541,114.0,60.0,174.0
542,114.0,54.0,168.0
543,114.0,57.0,171.0
544,114.0,54.0,168.0
545,342.0,126.0,468.0
546,114.0,54.0,168.0
547,114.0,68.5,182.5
548,114.0,54.0,168.0
549,114.0,54.0,168.0
551,0.0,9.0,9.0
552,83.0,40.0,123.0
554,115.5,6.0,121.5
555,184.0,139.0,323.0
556,116.0,72.5,188.5
558,138.0,42.0,180.0
560,138.0,122.5,260.5
562,184.0,61.0,245.0
563,66.0,28.0,94.0
564,78.0,48.3,126.3
566,314.0,97.0,411.0
567,138.0,42.0,180.0
569,355.0,81.0,436.0
570,112.0,70.0,182.0
571,116.0,107.2,223.2
572,116.0,93.0,209.0
573,190.0,247.8,437.8
574,146.0,19.0,165.0
575,1123.0,425.5,1548.5
576,253.2,151.5,404.7
578,140.0,51.0,191.0
580,92.0,50.5,142.5
582,126.72,7.0,133.72
584,126.72,4.0,130.72
586,126.72,9.5,136.22
588,77.0,22.0,99.0
589,58.8,12.0,70.8
590,128.0,14.0,142.0
591,58.8,15.5,74.3
592,128.0,14.0,142.0
593,255.0,61.0,316.0
596,128.0,14.0,142.0
597,64.0,7.0,71.0
598,128.0,16.5,144.5
599,128.0,19.0,147.0
600,128.0,16.5,144.5
601,795.0,1350.0,2145.0
602,128.0,16.5,144.5
603,128.0,14.0,142.0
604,128.0,14.0,142.0
605,128.0,17.0,145.0
606,128.0,34.0,162.0
607,230.0,149.0,379.0
609,154.0,61.6,215.6
611,267.0,42.0,309.0
613,59.0,9.0,68.0
614,59.0,46.0,105.0
615,292.0,30.5,322.5
616,64.0,16.0,80.0
617,215.0,111.0,326.0
619,89.0,17.99,106.99
621,67.0,14.0,81.0
623,493.0,46.0,539.0
624,192.0,21.0,213.0
625,79.0,2.0,81.0
626,563.6,128.0,691.6
627,411.0,85.5,496.5
628,232.0,75.5,307.5
629,269.5,5.0,274.5
630,0.0,0.0,0.0
632,0.0,0.0,0.0
633,67.2,14.0,81.2
635,138.0,64.5,202.5
637,77.0,23.0,100.0
639,219.0,244.5,463.5
640,292.0,28.0,320.0
641,382.0,110.0,492.0
643,73.0,7.0,80.0
644,77.0,14.0,91.0
645,73.0,14.0,87.0
647,96.0,92.0,188.0
648,73.0,25.5,98.5
650,105.2,28.0,133.2
652,308.0,78.3,386.3
653,146.0,52.5,198.5
655,59.0,7.0,66.0
656,59.0,7.0,66.0
657,73.0,23.0,96.0
659,138.0,126.5,264.5
661,138.0,42.0,180.0
663,138.0,82.0,220.0
665,387.0,23.5,410.5
666,231.0,134.49,365.49
668,50.0,30.3,80.3
669,34.0,9.5,43.5
670,1132.0,181.5,1313.5
671,219.0,30.0,249.0
672,50.0,16.5,66.5
674,50.0,14.0,64.0
675,52.0,7.0,59.0
676,52.0,7.0,59.0
677,285.0,70.0,355.0
678,138.0,42.0,180.0
680,150.0,42.0,192.0
681,52.0,7.0,59.0
682,0.0,0.0,0.0
683,50.0,14.0,64.0
685,79.0,11.0,90.0
686,52.0,7.0,59.0
687,67.0,33.0,100.0
688,300.0,128.0,428.0
690,176.0,28.0,204.0
692,224.0,96.7,320.7
694,300.0,84.0,384.0
696,300.0,93.99,393.99
697,300.0,96.5,396.5
699,444.0,126.0,570.0
700,312.0,42.0,354.0
701,444.0,126.0,570.0
704,444.0,133.5,577.5
707,300.0,90.5,390.5
708,300.0,86.5,386.5
710,814.0,233.0,1047.0
713,312.0,42.0,354.0
714,444.0,126.0,570.0
717,312.0,42.0,354.0
718,450.0,160.0,610.0
720,157.2,42.0,199.2
721,73.0,7.0,80.0
722,73.0,7.0,80.0
723,146.0,46.6,192.6
724,77.0,14.0,91.0
725,163.8,32.0,195.8
726,177.0,27.0,204.0
